s1.sale_date,s1.item_id,i.item_name,difference
31.12.2014,20949,Фирменный пакет майка 1С Интерес белый (34*42) 45 мкм,108.0
31.12.2014,2813,"Diablo III: Reaper of Souls (дополнение) [PC, Jewel, русская версия]",48.0
31.12.2014,17717,Прием денежных средств для 1С-Онлайн,35.0
31.12.2014,7856,World of Warcraft. Карта оплаты игрового времени (online) (рус.в.) (60 дней) (Jewel),34.0
31.12.2014,5319,ONE DIRECTION  Four,28.0
31.12.2014,3734,"Grand Theft Auto V [Xbox 360, русские субтитры]",26.0
31.12.2014,3461,"Far Cry 4. Специальное издание [PS3, русская версия]",26.0
31.12.2014,19436,"Средиземье: Тени Мордора [PC, Jewel, русские субтитры]",24.0
31.12.2014,22092,Элемент питания DURACELL TURBO LR6 2*BL,21.0
31.12.2014,2429,"Crew. Специальное издание [PC, русская версия]",20.0
