s.item_id,i.item_name,daily_count
20949,Фирменный пакет майка 1С Интерес белый (34*42) 45 мкм,44
6503,"Sims 4 [PC, русская версия]",41
17717,Прием денежных средств для 1С-Онлайн,39
3341,"FIFA 15 [PS3, русская версия]",36
3343,"FIFA 15 [Xbox 360, русская версия]",35
5823,Playstation Store пополнение бумажника: Карта оплаты 2500 руб.,30
2429,"Crew. Специальное издание [PC, русская версия]",30
3462,"Far Cry 4. Специальное издание [PS4, русская версия]",29
8452,Аксессуар: Xbox One Беспроводной геймпад (S2V-00018),29
5820,PlayStation Plus 12-месячная подписка: Карта оплаты,28
